tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,jenis_kelamin,usia,jumlah
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,60-64,2993
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,65-69,2365
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,70-75,1851
2020,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,LAKI-LAKI,>75,1105
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,<15,5
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,15-19,153
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,20-24,2562
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,25-29,10500
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,30-34,18600
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,35-39,24996
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,40-44,23961
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,45-49,20574
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,50-54,16495
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,55-59,12512
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,60-64,8638
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,65-69,5055
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,70-75,2834
2020,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,LAKI-LAKI,>75,1445
2020,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,LAKI-LAKI,<15,1
2020,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,LAKI-LAKI,15-19,40
2020,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,LAKI-LAKI,20-24,658
2020,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,LAKI-LAKI,25-29,3003
2020,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,LAKI-LAKI,30-34,6145
2020,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,LAKI-LAKI,35-39,9255
2020,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,LAKI-LAKI,40-44,9577
2020,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,LAKI-LAKI,45-49,8497
2020,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,LAKI-LAKI,50-54,7306
2020,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,LAKI-LAKI,55-59,5712
2020,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,LAKI-LAKI,60-64,4194
2020,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,LAKI-LAKI,65-69,3149
2020,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,LAKI-LAKI,70-75,2536
2020,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,LAKI-LAKI,>75,1759
2020,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,LAKI-LAKI,<15,3
2020,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,LAKI-LAKI,15-19,21
2020,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,LAKI-LAKI,20-24,363
2020,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,LAKI-LAKI,25-29,1496
2020,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,LAKI-LAKI,30-34,2969
2020,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,LAKI-LAKI,35-39,4283
2020,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,LAKI-LAKI,40-44,4449
2020,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,LAKI-LAKI,45-49,4126
2020,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,LAKI-LAKI,50-54,3835
2020,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,LAKI-LAKI,55-59,3580
2020,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,LAKI-LAKI,60-64,2752
2020,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,LAKI-LAKI,65-69,1996
2020,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,LAKI-LAKI,70-75,1449
2020,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,LAKI-LAKI,>75,1019
2020,DKI JAKARTA,JAKARTA BARAT,TAMBORA,LAKI-LAKI,<15,4
2020,DKI JAKARTA,JAKARTA BARAT,TAMBORA,LAKI-LAKI,15-19,46
2020,DKI JAKARTA,JAKARTA BARAT,TAMBORA,LAKI-LAKI,20-24,873
